Year,States,Malignant Neoplasm of,Number of Deaths
2016,Western Australia,Rectosigmoid Junction,122
2016,Western Australia,Rectum,56
2016,Western Australia,Anus and Anal Canal,8
2016,Western Australia,Liver and Intrahepatic Bile Ducts,185
2016,Western Australia,Gallbladder,10
2016,Western Australia,Other and Unspecified Parts of Biliary Tract,13
2016,Western Australia,Pancreas,264
2016,Western Australia,Other Digestive Organs,99
2017,Western Australia,Oesophagus,124
2017,Western Australia,Stomach,92
2017,Western Australia,Small Intestine,17
2017,Western Australia,Colon,164
2017,Western Australia,Rectosigmoid Junction,88
2017,Western Australia,Rectum,65
2017,Western Australia,Anus and Anal Canal,13
2017,Western Australia,Liver and Intrahepatic Bile Ducts,175
2017,Western Australia,Gallbladder,12
2017,Western Australia,Other and Unspecified Parts of Biliary Tract,15
2017,Western Australia,Pancreas,313
2017,Western Australia,Other Digestive Organs,117
2018,Western Australia,Oesophagus,119
2018,Western Australia,Stomach,105
2018,Western Australia,Small Intestine,16
2018,Western Australia,Colon,179
2018,Western Australia,Rectosigmoid Junction,114
2018,Western Australia,Rectum,66
2018,Western Australia,Anus and Anal Canal,6
2018,Western Australia,Liver and Intrahepatic Bile Ducts,204
2018,Western Australia,Gallbladder,9
2018,Western Australia,Other and Unspecified Parts of Biliary Tract,10
2018,Western Australia,Pancreas,323
2018,Western Australia,Other Digestive Organs,115
2019,Western Australia,Oesophagus,137
2019,Western Australia,Stomach,89
2019,Western Australia,Small Intestine,19
2019,Western Australia,Colon,156
2019,Western Australia,Rectosigmoid Junction,133
2019,Western Australia,Rectum,61
2019,Western Australia,Anus and Anal Canal,15
2019,Western Australia,Liver and Intrahepatic Bile Ducts,171
2019,Western Australia,Gallbladder,18
2019,Western Australia,Other and Unspecified Parts of Biliary Tract,9
2019,Western Australia,Pancreas,276
2019,Western Australia,Other Digestive Organs,109
2020,Western Australia,Oesophagus,123
2020,Western Australia,Stomach,99
2020,Western Australia,Small Intestine,17
2020,Western Australia,Colon,139
2020,Western Australia,Rectosigmoid Junction,143
2020,Western Australia,Rectum,69
2020,Western Australia,Anus and Anal Canal,7
2020,Western Australia,Liver and Intrahepatic Bile Ducts,223
2020,Western Australia,Gallbladder,12
2020,Western Australia,Other and Unspecified Parts of Biliary Tract,5
2020,Western Australia,Pancreas,317
2020,Western Australia,Other Digestive Organs,92
2021,Western Australia,Oesophagus,147
2021,Western Australia,Stomach,115
2021,Western Australia,Small Intestine,11
2021,Western Australia,Colon,149
2021,Western Australia,Rectosigmoid Junction,163
2021,Western Australia,Rectum,63
2021,Western Australia,Anus and Anal Canal,10
2021,Western Australia,Liver and Intrahepatic Bile Ducts,217
2021,Western Australia,Gallbladder,10
2021,Western Australia,Other and Unspecified Parts of Biliary Tract,15
2021,Western Australia,Pancreas,344
2021,Western Australia,Other Digestive Organs,81
2022,Western Australia,Oesophagus,117
2022,Western Australia,Stomach,94
2022,Western Australia,Small Intestine,14
2022,Western Australia,Colon,112
2022,Western Australia,Rectosigmoid Junction,172
2022,Western Australia,Rectum,74
2022,Western Australia,Anus and Anal Canal,15
2022,Western Australia,Liver and Intrahepatic Bile Ducts,194
2022,Western Australia,Gallbladder,8
2022,Western Australia,Other and Unspecified Parts of Biliary Tract,9
2022,Western Australia,Pancreas,329
2022,Western Australia,Other Digestive Organs,83
2012,Tasmania,Oesophagus,47
2012,Tasmania,Stomach,43
2012,Tasmania,Small Intestine,2
2012,Tasmania,Colon,66
2012,Tasmania,Rectosigmoid Junction ,31
2012,Tasmania,Rectum,19
2012,Tasmania,Anus and Anal Canal ,1
2012,Tasmania,Liver and Intrahepatic Bile Ducts,34
2012,Tasmania,Gallbladder,6
2012,Tasmania,Other and Unspecified Parts of Biliary Tract ,2
2012,Tasmania,Pancreas,80
2012,Tasmania,Other Digestive Organs ,26
2013,Tasmania,Oesophagus ,45
2013,Tasmania,Stomach ,43
2013,Tasmania,Small Intestine ,1
2013,Tasmania,Colon ,61
2013,Tasmania,Rectosigmoid Junction ,31
2013,Tasmania,Rectum,30
2013,Tasmania,Anus and Anal Canal ,0
2013,Tasmania,Liver and Intrahepatic Bile Ducts,34
2013,Tasmania,Gallbladder,4
2013,Tasmania,Other and Unspecified Parts of Biliary Tract ,1
2013,Tasmania,Pancreas,79
2013,Tasmania,Other Digestive Organs ,54
2014,Tasmania,Oesophagus ,58
2014,Tasmania,Stomach ,31
2014,Tasmania,Small Intestine ,4
2014,Tasmania,Colon ,54
2014,Tasmania,Rectosigmoid Junction ,49
2014,Tasmania,Rectum,26
2014,Tasmania,Anus and Anal Canal ,0
2014,Tasmania,Liver and Intrahepatic Bile Ducts,38
2014,Tasmania,Gallbladder,1
2014,Tasmania,Other and Unspecified Parts of Biliary Tract ,5
2014,Tasmania,Pancreas,72
2014,Tasmania,Other Digestive Organs ,44
2015,Tasmania,Oesophagus ,44
2015,Tasmania,Stomach ,29
2015,Tasmania,Small Intestine ,2
2015,Tasmania,Colon ,62
2015,Tasmania,Rectosigmoid Junction ,37
2015,Tasmania,Rectum,36
2015,Tasmania,Anus and Anal Canal ,1
2015,Tasmania,Liver and Intrahepatic Bile Ducts,42
2015,Tasmania,Gallbladder,5
2015,Tasmania,Other and Unspecified Parts of Biliary Tract ,1
2015,Tasmania,Pancreas,67
2015,Tasmania,Other Digestive Organs ,42
2016,Tasmania,Oesophagus ,57
2016,Tasmania,Stomach ,29
2016,Tasmania,Small Intestine ,1
2016,Tasmania,Colon ,83
2016,Tasmania,Rectosigmoid Junction ,38
2016,Tasmania,Rectum,19
2016,Tasmania,Anus and Anal Canal ,4
2016,Tasmania,Liver and Intrahepatic Bile Ducts,53
2016,Tasmania,Gallbladder,4
2016,Tasmania,Other and Unspecified Parts of Biliary Tract ,2
2016,Tasmania,Pancreas,77
2016,Tasmania,Other Digestive Organs ,34
2017,Tasmania,Oesophagus ,54
2017,Tasmania,Stomach ,33
2017,Tasmania,Small Intestine ,3
2017,Tasmania,Colon ,67
2017,Tasmania,Rectosigmoid Junction ,18
2017,Tasmania,Rectum,33
2017,Tasmania,Anus and Anal Canal ,5
2017,Tasmania,Liver and Intrahepatic Bile Ducts,54
2017,Tasmania,Gallbladder,6
2017,Tasmania,Other and Unspecified Parts of Biliary Tract ,3
2017,Tasmania,Pancreas,102
2017,Tasmania,Other Digestive Organs ,45
2018,Tasmania,Oesophagus ,44
2018,Tasmania,Stomach ,30
2018,Tasmania,Small Intestine ,5
2018,Tasmania,Colon ,56
2018,Tasmania,Rectosigmoid Junction ,33
2018,Tasmania,Rectum,21
2018,Tasmania,Anus and Anal Canal ,3
2018,Tasmania,Liver and Intrahepatic Bile Ducts,40
2018,Tasmania,Gallbladder,12
2018,Tasmania,Other and Unspecified Parts of Biliary Tract ,2
2018,Tasmania,Pancreas,89
2018,Tasmania,Other Digestive Organs ,32
2019,Tasmania,Oesophagus ,44
2019,Tasmania,Stomach ,31
2019,Tasmania,Small Intestine ,3
2019,Tasmania,Colon ,60
2019,Tasmania,Rectosigmoid Junction ,39
2019,Tasmania,Rectum,25
2019,Tasmania,Anus and Anal Canal ,1
2019,Tasmania,Liver and Intrahepatic Bile Ducts,54
2019,Tasmania,Gallbladder,4
2019,Tasmania,Other and Unspecified Parts of Biliary Tract ,2
2019,Tasmania,Pancreas,85
2019,Tasmania,Other Digestive Organs ,36
2020,Tasmania,Oesophagus ,38
2020,Tasmania,Stomach ,34
2020,Tasmania,Small Intestine ,10
2020,Tasmania,Colon ,48
2020,Tasmania,Rectosigmoid Junction ,46
2020,Tasmania,Rectum,25
2020,Tasmania,Anus and Anal Canal ,6
2020,Tasmania,Liver and Intrahepatic Bile Ducts,45
2020,Tasmania,Gallbladder,6
2020,Tasmania,Other and Unspecified Parts of Biliary Tract ,2
2020,Tasmania,Pancreas,101
2020,Tasmania,Other Digestive Organs ,31
2021,Tasmania,Oesophagus ,55
2021,Tasmania,Stomach ,39
2021,Tasmania,Small Intestine ,5
2021,Tasmania,Colon ,40
2021,Tasmania,Rectosigmoid Junction ,50
2021,Tasmania,Rectum,27
2021,Tasmania,Anus and Anal Canal ,2
2021,Tasmania,Liver and Intrahepatic Bile Ducts,40
2021,Tasmania,Gallbladder,5
2021,Tasmania,Other and Unspecified Parts of Biliary Tract ,5
2021,Tasmania,Pancreas,94
2021,Tasmania,Other Digestive Organs ,30
2022,Tasmania,Oesophagus ,45
2022,Tasmania,Stomach ,37
2022,Tasmania,Small Intestine ,5
2022,Tasmania,Colon ,43
2022,Tasmania,Rectosigmoid Junction ,40
2022,Tasmania,Rectum,32
2022,Tasmania,Anus and Anal Canal ,6
2022,Tasmania,Liver and Intrahepatic Bile Ducts,50
2022,Tasmania,Gallbladder,4
2022,Tasmania,Other and Unspecified Parts of Biliary Tract ,7
2022,Tasmania,Pancreas,99
2022,Tasmania,Other Digestive Organs ,37
2012,Northern Territory,Oesophagus ,10
2012,Northern Territory,Stomach ,7
2012,Northern Territory,Small Intestine ,2
2012,Northern Territory,Colon ,13
2012,Northern Territory,Rectosigmoid Junction ,6
2012,Northern Territory,Rectum,3
2012,Northern Territory,Anus and Anal Canal ,1
2012,Northern Territory,Liver and Intrahepatic Bile Ducts,17
2012,Northern Territory,Gallbladder,1
2012,Northern Territory,Other and Unspecified Parts of Biliary Tract ,0
2012,Northern Territory,Pancreas,5
2012,Northern Territory,Other Digestive Organs ,2
2013,Northern Territory,Oesophagus ,7
2013,Northern Territory,Stomach ,3
2013,Northern Territory,Small Intestine ,1
2013,Northern Territory,Colon ,10
2013,Northern Territory,Rectosigmoid Junction ,7
2013,Northern Territory,Rectum,3
2013,Northern Territory,Anus and Anal Canal ,3
2013,Northern Territory,Liver and Intrahepatic Bile Ducts,25
2013,Northern Territory,Gallbladder,0
2013,Northern Territory,Other and Unspecified Parts of Biliary Tract ,1
2013,Northern Territory,Pancreas,18
2013,Northern Territory,Other Digestive Organs ,2
2014,Northern Territory,Oesophagus ,14
2014,Northern Territory,Stomach ,2
2014,Northern Territory,Small Intestine ,0
2014,Northern Territory,Colon ,7
2014,Northern Territory,Rectosigmoid Junction ,11
2014,Northern Territory,Rectum,6
2014,Northern Territory,Anus and Anal Canal ,0
2014,Northern Territory,Liver and Intrahepatic Bile Ducts,17
2014,Northern Territory,Gallbladder,5
2014,Northern Territory,Other and Unspecified Parts of Biliary Tract ,0
2014,Northern Territory,Pancreas,13
2014,Northern Territory,Other Digestive Organs ,5
2015,Northern Territory,Oesophagus ,6
2015,Northern Territory,Stomach ,9
2015,Northern Territory,Small Intestine ,2
2015,Northern Territory,Colon ,6
2015,Northern Territory,Rectosigmoid Junction ,15
2015,Northern Territory,Rectum,3
2015,Northern Territory,Anus and Anal Canal ,0
2015,Northern Territory,Liver and Intrahepatic Bile Ducts,16
2015,Northern Territory,Gallbladder,2
2015,Northern Territory,Other and Unspecified Parts of Biliary Tract ,0
2015,Northern Territory,Pancreas,11
2015,Northern Territory,Other Digestive Organs ,2
2016,Northern Territory,Oesophagus ,15
2016,Northern Territory,Stomach ,1
2016,Northern Territory,Small Intestine ,0
2016,Northern Territory,Colon ,8
2016,Northern Territory,Rectosigmoid Junction ,17
2016,Northern Territory,Rectum,1
2016,Northern Territory,Anus and Anal Canal ,4
2016,Northern Territory,Liver and Intrahepatic Bile Ducts,22
2016,Northern Territory,Gallbladder,4
2016,Northern Territory,Other and Unspecified Parts of Biliary Tract ,2
2016,Northern Territory,Pancreas,21
2016,Northern Territory,Other Digestive Organs ,3
2017,Northern Territory,Oesophagus ,1
2017,Northern Territory,Stomach ,1
2017,Northern Territory,Small Intestine ,3
2017,Northern Territory,Colon ,8
2017,Northern Territory,Rectosigmoid Junction ,18
2017,Northern Territory,Rectum,10
2017,Northern Territory,Anus and Anal Canal ,0
2017,Northern Territory,Liver and Intrahepatic Bile Ducts,27
2017,Northern Territory,Gallbladder,2
2017,Northern Territory,Other and Unspecified Parts of Biliary Tract ,0
2017,Northern Territory,Pancreas,19
2017,Northern Territory,Other Digestive Organs ,4
2018,Northern Territory,Oesophagus ,12
2018,Northern Territory,Stomach ,11
2018,Northern Territory,Small Intestine ,0
2018,Northern Territory,Colon ,9
2018,Northern Territory,Rectosigmoid Junction ,15
2018,Northern Territory,Rectum,9
2018,Northern Territory,Anus and Anal Canal ,0
2018,Northern Territory,Liver and Intrahepatic Bile Ducts,20
2018,Northern Territory,Gallbladder,1
2018,Northern Territory,Other and Unspecified Parts of Biliary Tract ,2
2018,Northern Territory,Pancreas,21
2018,Northern Territory,Other Digestive Organs ,3
2019,Northern Territory,Oesophagus ,9
2019,Northern Territory,Stomach ,13
2019,Northern Territory,Small Intestine ,0
2019,Northern Territory,Colon ,2
2019,Northern Territory,Rectosigmoid Junction ,14
2019,Northern Territory,Rectum,8
2019,Northern Territory,Anus and Anal Canal ,1
2019,Northern Territory,Liver and Intrahepatic Bile Ducts,31
2019,Northern Territory,Gallbladder,4
2019,Northern Territory,Other and Unspecified Parts of Biliary Tract ,2
2019,Northern Territory,Pancreas,18
2019,Northern Territory,Other Digestive Organs ,7
2020,Northern Territory,Oesophagus ,15
2020,Northern Territory,Stomach ,9
2020,Northern Territory,Small Intestine ,1
2020,Northern Territory,Colon ,4
2020,Northern Territory,Rectosigmoid Junction ,13
2020,Northern Territory,Rectum,3
2020,Northern Territory,Anus and Anal Canal ,3
2020,Northern Territory,Liver and Intrahepatic Bile Ducts,25
2020,Northern Territory,Gallbladder,4
2020,Northern Territory,Other and Unspecified Parts of Biliary Tract ,0
2020,Northern Territory,Pancreas,30
2020,Northern Territory,Other Digestive Organs ,1
2021,Northern Territory,Oesophagus ,11
2021,Northern Territory,Stomach ,3
2021,Northern Territory,Small Intestine ,0
2021,Northern Territory,Colon ,6
2021,Northern Territory,Rectosigmoid Junction ,10
2021,Northern Territory,Rectum,5
2021,Northern Territory,Anus and Anal Canal ,0
2021,Northern Territory,Liver and Intrahepatic Bile Ducts,19
2021,Northern Territory,Gallbladder,3
2021,Northern Territory,Other and Unspecified Parts of Biliary Tract ,3
2021,Northern Territory,Pancreas,24
2021,Northern Territory,Other Digestive Organs ,3
2022,Northern Territory,Oesophagus ,7
2022,Northern Territory,Stomach ,6
2022,Northern Territory,Small Intestine ,4
2022,Northern Territory,Colon ,6
2022,Northern Territory,Rectosigmoid Junction ,15
2022,Northern Territory,Rectum,4
2022,Northern Territory,Anus and Anal Canal ,4
2022,Northern Territory,Liver and Intrahepatic Bile Ducts,18
2022,Northern Territory,Gallbladder,4
2022,Northern Territory,Other and Unspecified Parts of Biliary Tract ,3
2022,Northern Territory,Pancreas,24
2022,Northern Territory,Other Digestive Organs ,4
2012,Australian Capital Territory,Oesophagus ,20
2012,Australian Capital Territory,Stomach ,1
2012,Australian Capital Territory,Small Intestine ,2
2012,Australian Capital Territory,Colon ,39
2012,Australian Capital Territory,Rectosigmoid Junction ,8
2012,Australian Capital Territory,Rectum,7
2012,Australian Capital Territory,Anus and Anal Canal ,0
2012,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,9
2012,Australian Capital Territory,Gallbladder,1
2012,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,2
2012,Australian Capital Territory,Pancreas,32
2012,Australian Capital Territory,Other Digestive Organs ,17
2013,Australian Capital Territory,Oesophagus ,11
2013,Australian Capital Territory,Stomach ,10
2013,Australian Capital Territory,Small Intestine ,0
2013,Australian Capital Territory,Colon ,35
2013,Australian Capital Territory,Rectosigmoid Junction ,17
2013,Australian Capital Territory,Rectum,13
2013,Australian Capital Territory,Anus and Anal Canal ,3
2013,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,21
2013,Australian Capital Territory,Gallbladder,4
2013,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,1
2013,Australian Capital Territory,Pancreas,26
2013,Australian Capital Territory,Other Digestive Organs ,13
2014,Australian Capital Territory,Oesophagus ,13
2014,Australian Capital Territory,Stomach ,13
2014,Australian Capital Territory,Small Intestine ,0
2014,Australian Capital Territory,Colon ,24
2014,Australian Capital Territory,Rectosigmoid Junction ,23
2014,Australian Capital Territory,Rectum,9
2014,Australian Capital Territory,Anus and Anal Canal ,0
2014,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,22
2014,Australian Capital Territory,Gallbladder,1
2014,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,4
2014,Australian Capital Territory,Pancreas,43
2014,Australian Capital Territory,Other Digestive Organs ,13
2015,Australian Capital Territory,Oesophagus ,19
2015,Australian Capital Territory,Stomach ,10
2015,Australian Capital Territory,Small Intestine ,0
2015,Australian Capital Territory,Colon ,34
2015,Australian Capital Territory,Rectosigmoid Junction ,27
2015,Australian Capital Territory,Rectum,13
2015,Australian Capital Territory,Anus and Anal Canal ,1
2015,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,23
2015,Australian Capital Territory,Gallbladder,2
2015,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,1
2015,Australian Capital Territory,Pancreas,44
2015,Australian Capital Territory,Other Digestive Organs ,9
2016,Australian Capital Territory,Oesophagus ,27
2016,Australian Capital Territory,Stomach ,9
2016,Australian Capital Territory,Small Intestine ,1
2016,Australian Capital Territory,Colon ,19
2016,Australian Capital Territory,Rectosigmoid Junction ,27
2016,Australian Capital Territory,Rectum,18
2016,Australian Capital Territory,Anus and Anal Canal ,4
2016,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,31
2016,Australian Capital Territory,Gallbladder,4
2016,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,2
2016,Australian Capital Territory,Pancreas,36
2016,Australian Capital Territory,Other Digestive Organs ,24
2017,Australian Capital Territory,Oesophagus ,16
2017,Australian Capital Territory,Stomach ,11
2017,Australian Capital Territory,Small Intestine ,0
2017,Australian Capital Territory,Colon ,21
2017,Australian Capital Territory,Rectosigmoid Junction ,31
2017,Australian Capital Territory,Rectum,11
2017,Australian Capital Territory,Anus and Anal Canal ,3
2017,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,29
2017,Australian Capital Territory,Gallbladder,0
2017,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,0
2017,Australian Capital Territory,Pancreas,32
2017,Australian Capital Territory,Other Digestive Organs ,10
2018,Australian Capital Territory,Oesophagus ,17
2018,Australian Capital Territory,Stomach ,8
2018,Australian Capital Territory,Small Intestine ,1
2018,Australian Capital Territory,Colon ,20
2018,Australian Capital Territory,Rectosigmoid Junction ,29
2018,Australian Capital Territory,Rectum,6
2018,Australian Capital Territory,Anus and Anal Canal ,3
2018,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,28
2018,Australian Capital Territory,Gallbladder,1
2018,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,2
2018,Australian Capital Territory,Pancreas,37
2018,Australian Capital Territory,Other Digestive Organs ,13
2019,Australian Capital Territory,Oesophagus ,15
2019,Australian Capital Territory,Stomach ,17
2019,Australian Capital Territory,Small Intestine ,3
2019,Australian Capital Territory,Colon ,18
2019,Australian Capital Territory,Rectosigmoid Junction ,13
2019,Australian Capital Territory,Rectum,3
2019,Australian Capital Territory,Anus and Anal Canal ,1
2019,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,24
2019,Australian Capital Territory,Gallbladder,4
2019,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,2
2019,Australian Capital Territory,Pancreas,45
2019,Australian Capital Territory,Other Digestive Organs ,17
2020,Australian Capital Territory,Oesophagus ,24
2020,Australian Capital Territory,Stomach ,13
2020,Australian Capital Territory,Small Intestine ,1
2020,Australian Capital Territory,Colon ,24
2020,Australian Capital Territory,Rectosigmoid Junction ,26
2020,Australian Capital Territory,Rectum,10
2020,Australian Capital Territory,Anus and Anal Canal ,0
2020,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,12
2020,Australian Capital Territory,Gallbladder,4
2020,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,2
2020,Australian Capital Territory,Pancreas,48
2020,Australian Capital Territory,Other Digestive Organs ,12
2021,Australian Capital Territory,Oesophagus ,11
2021,Australian Capital Territory,Stomach ,16
2021,Australian Capital Territory,Small Intestine ,0
2021,Australian Capital Territory,Colon ,14
2021,Australian Capital Territory,Rectosigmoid Junction ,28
2021,Australian Capital Territory,Rectum,8
2021,Australian Capital Territory,Anus and Anal Canal ,2
2021,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,27
2021,Australian Capital Territory,Gallbladder,3
2021,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,3
2021,Australian Capital Territory,Pancreas,46
2021,Australian Capital Territory,Other Digestive Organs ,14
2022,Australian Capital Territory,Oesophagus ,16
2022,Australian Capital Territory,Stomach ,11
2022,Australian Capital Territory,Small Intestine ,4
2022,Australian Capital Territory,Colon ,14
2022,Australian Capital Territory,Rectosigmoid Junction ,28
2022,Australian Capital Territory,Rectum,13
2022,Australian Capital Territory,Anus and Anal Canal ,4
2022,Australian Capital Territory,Liver and Intrahepatic Bile Ducts,29
2022,Australian Capital Territory,Gallbladder,4
2022,Australian Capital Territory,Other and Unspecified Parts of Biliary Tract ,3
2022,Australian Capital Territory,Pancreas,43
2022,Australian Capital Territory,Other Digestive Organs ,11
